,acceptance,enrollment,graduation,retention,tuition
0,7.9,8010.0,96.0,98.0,40170.0
1,6.1,19726.0,97.0,98.0,42292.0
2,7.1,11906.0,96.0,99.0,44000.0
3,7.4,23168.0,97.0,99.0,49138.0
4,6.6,18217.0,95.0,98.0,43245.0
5,13.2,12508.0,92.0,99.0,46386.0
6,13.4,15386.0,95.0,97.0,45476.0
7,9.0,11189.0,93.0,97.0,43498.0
8,12.6,21339.0,96.0,98.0,45890.0
9,11.8,2243.0,92.0,98.0,41538.0
10,9.8,6277.0,96.0,98.0,46752.0
11,17.7,21001.0,94.0,97.0,45470.0
12,15.3,20439.0,93.0,97.0,45527.0
13,9.6,8885.0,95.0,98.0,45612.0
14,17.9,13952.0,94.0,97.0,44841.0
15,16.6,21424.0,93.0,96.0,45359.0
16,14.2,12710.0,92.0,96.0,42978.0
17,16.7,6484.0,92.0,96.0,38941.0
18,23.3,12126.0,95.0,98.0,44605.0
19,26.3,14236.0,90.0,95.0,44008.0
20,17.0,17357.0,93.0,96.0,44805.0
21,18.0,35899.0,91.0,97.0,25056.0
22,27.8,12569.0,87.0,96.0,46962.0
23,22.0,41341.0,92.0,97.0,35574.0
24,19.9,39958.0,90.0,97.0,46298.0
25,7.9,8010.0,96.0,98.0,40170.0
26,6.1,19726.0,97.0,98.0,42292.0
27,7.1,11906.0,96.0,99.0,44000.0
28,7.4,23168.0,97.0,99.0,49138.0
29,6.6,18217.0,95.0,98.0,43245.0
30,13.2,12508.0,92.0,99.0,46386.0
31,13.4,15386.0,95.0,97.0,45476.0
32,9.0,11189.0,93.0,97.0,43498.0
33,12.6,21339.0,96.0,98.0,45890.0
34,11.8,2243.0,92.0,98.0,41538.0
35,9.8,6277.0,96.0,98.0,46752.0
36,17.7,21001.0,94.0,97.0,45470.0
37,15.3,20439.0,93.0,97.0,45527.0
38,9.6,8885.0,95.0,98.0,45612.0
39,17.9,13952.0,94.0,97.0,44841.0
40,16.6,21424.0,93.0,96.0,45359.0
41,14.2,12710.0,92.0,96.0,42978.0
42,16.7,6484.0,92.0,96.0,38941.0
43,23.3,12126.0,95.0,98.0,44605.0
44,26.3,14236.0,90.0,95.0,44008.0
45,17.0,17357.0,93.0,96.0,44805.0
46,18.0,35899.0,91.0,97.0,25056.0
47,27.8,12569.0,87.0,96.0,46962.0
48,22.0,41341.0,92.0,97.0,35574.0
49,19.9,39958.0,90.0,97.0,46298.0
50,29.6,23907.0,93.0,97.0,39844.0
51,34.0,7432.0,87.0,94.0,44742.0
52,21.4,10837.0,92.0,96.0,46598.0
53,36.6,43426.0,91.0,96.0,40496.0
54,27.6,29278.0,89.0,97.0,30122.0
55,28.8,13783.0,92.0,95.0,45622.0
56,39.1,5808.0,90.0,94.0,46106.0
57,32.2,8258.0,90.0,95.0,37852.0
58,35.0,44516.0,85.0,92.0,44848.0
59,35.3,10510.0,85.0,96.0,45372.0
60,54.9,21557.0,79.0,94.0,29954.0
61,54.3,10026.0,78.0,92.0,41800.0
62,54.2,45783.0,86.0,92.0,29566.0
63,45.7,32354.0,85.0,92.0,36774.0
64,37.8,28294.0,86.0,95.0,36112.0
65,45.6,32603.0,84.0,91.0,44910.0
66,32.6,7080.0,88.0,94.0,43520.0
67,43.6,6999.0,84.0,92.0,46269.0
68,44.0,21927.0,86.0,91.0,36624.0
69,63.3,44520.0,84.0,94.0,29640.0
70,54.6,42820.0,83.0,95.0,26653.0
71,39.7,16172.0,81.0,91.0,42852.0
72,84.0,6753.0,89.0,91.0,37600.0
73,31.9,20447.0,79.0,94.0,41686.0
74,42.4,27479.0,86.0,94.0,37566.0
75,44.1,49913.0,85.0,96.0,28541.0
76,33.1,25653.0,80.0,93.0,47343.0
77,64.0,56387.0,82.0,93.0,25757.0
78,27.3,13486.0,75.0,90.0,46930.0
79,46.8,52186.0,79.0,92.0,33824.0
80,59.2,42568.0,80.0,93.0,29938.0
81,42.9,15170.0,81.0,89.0,43577.0
82,38.5,7319.0,81.0,91.0,44902.0
83,44.7,25483.0,82.0,93.0,30970.0
84,53.8,10893.0,79.0,89.0,43800.0
85,56.1,34519.0,82.0,94.0,28472.0
86,54.9,34409.0,77.0,86.0,4850.0
87,57.9,20768.0,82.0,90.0,30816.0
88,51.3,21029.0,82.0,92.0,40458.0
89,46.8,37197.0,82.0,94.0,28348.0
90,56.1,28769.0,79.0,92.0,27106.0
91,52.6,5957.0,84.0,95.0,42778.0
92,61.3,39256.0,70.0,89.0,28794.0
93,60.9,40434.0,79.0,92.0,27523.0
94,67.1,50227.0,80.0,92.0,25126.0
95,49.5,51853.0,73.0,90.0,19805.0
96,70.4,31087.0,83.0,92.0,25320.0
97,70.6,48906.0,79.0,91.0,33750.0
98,78.4,30119.0,70.0,85.0,26931.0
99,44.2,12904.0,77.0,90.0,40649.0
100,60.7,15364.0,75.0,85.0,35972.0
101,70.1,3503.0,80.0,89.0,39550.0
102,74.4,42133.0,75.0,89.0,32350.0
103,55.2,11749.0,80.0,89.0,34640.0
104,72.8,17683.0,80.0,89.0,29589.0
105,56.6,21081.0,80.0,92.0,29932.0
106,42.7,5649.0,78.0,92.0,43561.0
107,40.1,24149.0,70.0,90.0,19924.0
